category,step,prompt_index,group_size,abnormal,logged_bucket,local_bucket,reasons,normalized_reasons,strict_code_mismatch_rows,semantic_code_mismatch_rows,semantic_obj_mismatch_rows,prompt_preview
data_integrity,5,12,32,True,others,others,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,5,19,32,True,maj,maj,missing_code_rows_1,missing_code_rows,5,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,9,12,32,True,maj,maj,missing_code_rows_1,missing_code_rows,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,12,22,32,True,maj,maj,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,13,24,32,True,maj,maj,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,13,29,64,True,maj,maj,group_size_64,group_size_anomaly,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,4,0,32,True,minor,maj,bucket_changed|semantic_code_mismatch_rows_5|semantic_obj_mismatch_rows_2,bucket_changed|semantic_code_mismatch_rows|semantic_obj_mismatch_rows,6,5,2,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,6,22,32,True,others,others,semantic_code_mismatch_rows_5|semantic_obj_mismatch_rows_1,semantic_code_mismatch_rows|semantic_obj_mismatch_rows,5,5,1,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,9,22,32,True,minor,maj,bucket_changed|semantic_code_mismatch_rows_1|semantic_obj_mismatch_rows_1,bucket_changed|semantic_code_mismatch_rows|semantic_obj_mismatch_rows,3,1,1,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,10,13,32,True,minor,minor,semantic_code_mismatch_rows_1,semantic_code_mismatch_rows,7,1,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,10,15,32,True,maj,maj,semantic_code_mismatch_rows_1|semantic_obj_mismatch_rows_1,semantic_code_mismatch_rows|semantic_obj_mismatch_rows,1,1,1,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,11,21,32,True,minor,minor,semantic_obj_mismatch_rows_1,semantic_obj_mismatch_rows,0,0,1,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,13,15,32,True,minor,minor,semantic_code_mismatch_rows_1|semantic_obj_mismatch_rows_1,semantic_code_mismatch_rows|semantic_obj_mismatch_rows,2,1,1,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
review_needed,15,10,32,True,minor,minor,semantic_code_mismatch_rows_2|semantic_obj_mismatch_rows_1,semantic_code_mismatch_rows|semantic_obj_mismatch_rows,2,2,1,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
