step,prompt_count,predicted_correct_count,majority_but_wrong_count,not_even_sampled_count,predicted_correct_rate,majority_but_wrong_rate,not_even_sampled_rate,proxy_predicted_correct_count,proxy_majority_but_wrong_count,proxy_not_even_sampled_count,proxy_reward_mean,observability_mean,consensus_mean
88,32,27,2,3,0.84375,0.0625,0.09375,13,11,8,0.031352806172503564,0.04289507545218303,-0.06462781695593693
89,32,27,1,4,0.84375,0.03125,0.125,19,7,6,0.18067470211704162,0.34000668942049495,0.36942990421992666
90,32,28,3,1,0.875,0.09375,0.03125,15,8,9,0.0977227850103849,0.1936909719876383,0.14339918495188878
91,32,23,4,5,0.71875,0.125,0.15625,15,10,7,0.1013690648602357,0.25769051493255,0.07603061072764747
92,32,30,2,0,0.9375,0.0625,0.0,12,10,10,0.03604198415339826,0.07247020672994962,0.01939399801634339
93,32,27,2,3,0.84375,0.0625,0.09375,17,11,4,0.18240696416534719,0.4097820912823205,0.30800225994005154
94,32,28,3,1,0.875,0.09375,0.03125,12,14,6,0.04933897449968051,0.14931714732300425,-0.04234978816030613
95,32,27,3,2,0.84375,0.09375,0.0625,16,8,8,0.1582645850598795,0.354149766882953,0.2567865413652472
96,32,26,3,3,0.8125,0.09375,0.09375,17,10,5,0.14106812705742394,0.32070770654663483,0.19222392386151005
97,32,24,5,3,0.75,0.15625,0.09375,11,15,6,0.0785321977929512,0.22456178307972013,0.002278664697743863
98,32,25,5,2,0.78125,0.15625,0.0625,13,11,8,0.07605197558830774,0.19529998028544174,0.030075414060170395
99,32,27,5,0,0.84375,0.15625,0.0,17,9,6,0.13684415017031526,0.29144590375235646,0.23776601320858598
100,32,21,7,4,0.65625,0.21875,0.125,14,5,13,0.02707194708904158,0.00495942909033679,-0.01327575646555243
101,32,27,3,2,0.84375,0.09375,0.0625,13,9,10,0.008507766333190813,-0.010714628370665037,-0.07493386005859388
102,32,29,2,1,0.90625,0.0625,0.03125,12,14,6,0.14359607990626916,0.38052028848804215,0.1714027447907761
103,32,29,3,0,0.90625,0.09375,0.0,18,10,4,0.1913990880978421,0.44451312797148923,0.3141460136777639
